Song_ID	Title_FA	Title_EN	Line_Num	Persian_Lyric	English_Lyric	Audio_URL	Video_URL	Has_Timing
188	کلمه جاودانیروزبه نجارنژاد		1				https://www.youtube.com/embed/F5jp02vM9ds	No
189	کریسمس سفید ( کاش امسال باشد در کریسمس )White ChristmasIrving Berlin	White ChristmasIrving Berlin	1				https://www.youtube.com/embed/juTNU4sCqF0	No
190	کلامی گو که بخشد زندگیژیلبرت هوسپیان		1				https://www.youtube.com/embed/nJB1zV1FI_U	No
191	کیست که ما را از محبت مسیح جدا سازد		1				https://www.youtube.com/embed/EasnLrjA_vM	No
192	کلیسا کلیساوحید نوروزی		1				https://www.youtube.com/embed/XaO-slwu298	No
193	کسی نیست بجز تو خداوند در آسمان		1				https://www.youtube.com/embed/7xMPo_vn34I	No
194	گر آید طوفانهاآریا طهرانی		1				https://www.youtube.com/embed/uchyPgyigho	No
195	گرمای آغوش تو		1				https://www.youtube.com/embed/rmS8mwkixo0	No
196	گرچه انجیر شکوفه نیاوردسرود انگلیسی		1				https://www.youtube.com/embed/dnsm2H74uRI	No
197	لایق جلالیFrunz Arsenyan	Frunz Arsenyan	1				https://www.youtube.com/embed/iVgMKLtJ86E	No
198	مرا کافیستروزبه نجارنژاد		1				https://www.youtube.com/embed/oZLKrr-3Cp8	No
199	من از آن توام اباسینا مسیحا		1				https://www.youtube.com/embed/HjoBg1LdvXQ	No
200	منجی من معبود منژیلبرت هوسپیان		1				https://www.youtube.com/embed/O5r3AO7vGPY	No
201	مژده عیسی به دنیا آمدا.امینی		1				https://www.youtube.com/embed/7MkrmFdygO8	No
202	منجی شایسته ای		1				https://www.youtube.com/embed/RQ8NsQ6kOhQ	No
203	ما همه متحدیم در مسیح یک هستیمBy our lovePeter Raymond Scholtes	By our lovePeter Raymond Scholtes	1				https://www.youtube.com/embed/r0v5vJ8JFHc	No
204	مژده بادا که نو شدزنده یاد اسقف ح.ب.دهقانی تفتی		1				https://www.youtube.com/embed/XXqL27wNVIk	No
205	مریم تو آیا می اندیشیدیMarry did you knowMark Lowry-Buddy Greeneکاوه رفیعی	Marry did you knowMark Lowry-Buddy Greene	1				https://www.youtube.com/embed/_1VaGpjm15c	No
206	منجیم عیسی ای شاه جلالژیلبرت هوسپیان		1				https://www.youtube.com/embed/e9TICadf0rQ	No
207	محتاجم من محتاج توژیلبرت هوسپیان		1				https://www.youtube.com/embed/pWz4x1BUA1c	No
208	می پرستمت ای منجی آسمانیکاوه رفیعی		1				https://www.youtube.com/embed/defO5Tilp0I	No
209	ملجای من توییYou are my hiding placeMichael Lender	You are my hiding placeMichael Lender	1				https://www.youtube.com/embed/EFmkxFVtuoE	No
210	منجیم شفیعم مرا برخیزانیدی		1				https://www.youtube.com/embed/lQ3fS_ecGJI	No
211	می‌آیم فروتن به نزدت پادشاه ( پادشاه پادشاه )MajestyMartin Smith-Stuart Garrard	MajestyMartin Smith-Stuart Garrard	1				https://www.youtube.com/embed/IEjiwtxSGQw	No
212	محبت خداوندم بس عظیم است و شیرین		1				https://www.youtube.com/embed/Pl03mDktyz4	No
213	محبت خدا در صلیب عیسیسرود عربیکشیش ادوارد هوسپیان		1				https://www.youtube.com/embed/d_36n7GY_QE	No
214	می شکافمنیلوفر		1				https://www.youtube.com/embed/Iofq3_u0Z2s	No
215	می‌بینم من افتادن شیطان راGlory to be JesusRon Kenoly	Glory to be JesusRon Kenoly	1				https://www.youtube.com/embed/ekt82eqbClc	No
216	مثل باران مثل باران بریز روحت از آسمانشرارهدریا		1				https://www.youtube.com/embed/6rHfxMEss7o	No
217	مهر تو عجیب استYour Love is amazingBrenton Brown	Your Love is amazingBrenton Brown	1				https://www.youtube.com/embed/cWdjEyJldSQ	No
218	نگاهی مانند چشمانتآراد طفلان		1				https://www.youtube.com/embed/M76pSEbOzyI	No
219	نترس ای دل پر امیدسموئیل بهرامی‌فرد		1				https://www.youtube.com/embed/zRhbBK9RvYc	No
220	نام او عیساستHis name is JesusJeremy Riddle	His name is JesusJeremy Riddle	1				https://www.youtube.com/embed/e993b6qFJ6k	No
221	ندایی در بیابان ( پادشاه جلال بر تو )سعید میریعقوبی		1				https://www.youtube.com/embed/c5JJXNwPN4I	No
222	ناخدایم تویی ( مرا در آغوشت بگیر )هما		1				https://www.youtube.com/embed/reP-Pswa72E	No
223	نبرد ما با جسم و خون نیستسرود ارمنی		1				https://www.youtube.com/embed/SKFvRKNmNbM	No
224	نام بی مانند عیسیWhat a beautiful nameBrooke Ligertwood Hillsong	What a beautiful nameBrooke Ligertwood Hillsong	1				https://www.youtube.com/embed/vSb4manw-UY	No
225	نگاهم به تو است عیسیسرود ارمنیس.اندریاس		1				https://www.youtube.com/embed/F0jKjkvAyFg	No
226	نام تو ( تا زنده ایم ستاییم تو را )پیمان مجتهدی		1				https://www.youtube.com/embed/jgnc0Hx1d4A	No
227	نام او مهیب است ( خدای ما مهیب است )Awesome GodRich Mullins	Awesome GodRich Mullins	1				https://www.youtube.com/embed/i5BRZTqsSmk	No
228	نه مرگ و نه زندگیوحید نوروزی		1				https://www.youtube.com/embed/VuIwzyeLulw	No
229	نام مسیح پرجلال استسرود اسپانیایی		1				https://www.youtube.com/embed/62atZw4apnQ	No
230	نترسمروزبه نجارنژاد		1				https://www.youtube.com/embed/v2vvSEN9wwU	No
231	نزد تو خم شویمWe bow lowTim sheppard-Gateway Church	We bow lowTim sheppard-Gateway Church	1				https://www.youtube.com/embed/7MtRxO8QVvs	No
232	نیازم بر توست ای مسیحدریا		1				https://www.youtube.com/embed/usamKYiocnk	No
233	نگاهم به توست هلاک نخواهم شدGod i look to youIan Bruce Mcintosh-Jenn Louise Johnson	God i look to youIan Bruce Mcintosh-Jenn Louise Johnson	1				https://www.youtube.com/embed/IwkKXwPa9ws	No
234	نام توست سلاحمنیلوفر		1				https://www.youtube.com/embed/LW7_aIjZwdQ	No
235	نام عیساست ملجای ماName of JesusChris Tomlin	Name of JesusChris Tomlin	1				https://www.youtube.com/embed/xgEx9ghumfY	No
236	وقتی که غمگین بودم		1				https://www.youtube.com/embed/bwRuo-skNi8	No
237	وقتی فوجهای ظلمت / نه به قوت نه به قدرتThe battle belongs to the LordMaranatha-Promise band	The battle belongs to the LordMaranatha-Promise band	1				https://www.youtube.com/embed/G0RrIXJrxak	No
238	ولی من زندستنیلوفر		1				https://www.youtube.com/embed/U3rrrKyLOLw	No
239	وقتی غم این زندگی پریشانم کندسرود ارمنی		1				https://www.youtube.com/embed/yN97E495ybU	No
240	وقتی دل شکسته ام گفتی تو را پرستمژیلبرت هوسپیان		1				https://www.youtube.com/embed/4M-WuTpMOH4	No
241	وقتی دل شکسته گرانبار و خسته ( مسیحا مسیحا )سرود ارمنیزنده یاد کشیش رافی شاهوردیان		1				https://www.youtube.com/embed/361A3KUdGKo	No
242	وقتی بین سکوت و کلامفراز دولتخواه		1				https://www.youtube.com/embed/G5oHVm_Dlqk	No
243	وقتی خداوند ما را آزاد کرد ( پس در میان قومها )سرود عبریکشیش سوریک سرکیسیان-اوژنی سرکیسیان		1				https://www.youtube.com/embed/59svvon7EZQ	No
244	هیچ چیزروزبه-نیلوفر-دریا		1				https://www.youtube.com/embed/miQirRPykqI	No
245	هرآنچه که تو می خواهیسرود افغان		1				https://www.youtube.com/embed/nfilIDTfa8A	No
246	هیچ نامی نیست There&#039;s no other name-Bethel Musicکشیش آلبرت بابایان	There	1				https://www.youtube.com/embed/F0-kVqlLKF8	No
247	هللویاه هللویاه مارلین درکاچ		1				https://www.youtube.com/embed/XII0WNoW84k	No
248	هللویاه تو قدوسی دوستت دارمسرود انگلیسی		1				https://www.youtube.com/embed/Yglwe09Wb8k	No
249	یهوه رافا ( جلالت ملموس است در میان ما )Yahweh Se ManifestaráOasis Ministry	Yahweh Se Manifestar	1				https://www.youtube.com/embed/445p_xVbgNY	No
250	یار من خدای منسرود افغان		1				https://www.youtube.com/embed/bywCi_1in8U	No
251	یشوعاYeshuaJesus image	YeshuaJesus image	1				https://www.youtube.com/embed/Ohkoxsn28Ts	No
252	یوغ سنگینوحید نوروزی		1				https://www.youtube.com/embed/Nt-wWHzfQMM	No
253	یهوه یهوهوحید نوروزی		1				https://www.youtube.com/embed/_0rIpRgZE_E	No
